id*name*created_at*updated_at*surname*completename*cedeusname*proyecto*cedeus_check*brt_check*ditl_check
1*Rosanna*2019-09-25 13:01:37.047616*2019-09-25 13:01:37.047616*Forray*Rosanna Forray*Forray, R.*5***
4*Rodrigo*2019-09-25 13:01:37.066158*2019-09-25 13:01:37.066158*Mora*Rodrigo Mora*Mora, R.*5***
11*Juan Antonio*2019-09-25 13:01:37.104432*2019-09-25 13:01:37.104432*Carrasco*Juan Antonio Carrasco*Carrasco, J.*3***
16*Jordi*2019-09-25 13:01:37.13305*2019-09-25 13:01:37.13305*Rosell*Jordi Rosell*Rosell, J.****
17*Luca*2019-09-25 13:01:37.139243*2019-09-25 13:01:37.139243*Tricarico*Luca Tricarico*Tricarico, L.****
18*Iván*2019-09-25 13:01:37.144648*2019-09-25 13:01:37.144648*Múñiz*Iván Múñiz*Múñiz, I.****
19*Omar*2019-09-25 13:01:37.154042*2019-09-25 13:01:37.154042*Ibarra-Rojas*Omar Ibarra-Rojas*Ibarra-Rojas, O.****
22*Arturo*2019-09-25 13:01:37.171101*2019-09-25 13:01:37.171101*Didier*Arturo Didier*Didier, A.****
23*Constanza*2019-09-25 13:01:37.176824*2019-09-25 13:01:37.176824*Silva*Constanza Silva*Silva, C.****
25*Francisco Javier*2019-09-25 13:01:37.190326*2019-09-25 13:01:37.190326*Martínez*Francisco Javier Martínez*Martínez, F.****
28*Verónica*2019-09-25 13:01:37.207752*2019-09-25 13:01:37.207752*Saud*Verónica Saud*Saud, V.****
31*Isidora*2019-09-25 13:01:37.239477*2019-09-25 13:01:37.239477*Navarro*Isidora Navarro*Navarro, I.****
32*Rocío*2019-09-25 13:01:37.247379*2019-09-25 13:01:37.247379*Hidalgo*Rocío Hidalgo*Hidalgo, R.****
33*Angelo*2019-09-25 13:01:37.254469*2019-09-25 13:01:37.254469*Guevara*Angelo Guevara*Guevara, A.****
35*Juan*2019-09-25 13:01:37.265577*2019-09-25 13:01:37.265577*Munizaga*Juan Munizaga*Munizaga, J.****
37*Jaime*2019-09-25 13:01:37.276312*2019-09-25 13:01:37.276312*Moya*Jaime Moya*Moya, J.****
38*D*2019-09-25 13:01:37.283954*2019-09-25 13:01:37.283954*Cruz*D Cruz*Cruz, D.****
39*Chiara*2019-09-25 13:01:37.289185*2019-09-25 13:01:37.289185*Calastri*Chiara Calastri*Calastri, C.****
40*Alejandro*2019-09-25 13:01:37.294705*2019-09-25 13:01:37.294705*Tudela*Alejandro Tudela*Tudela, A.****
49*Leonardo*2019-09-25 13:01:37.348576*2019-09-25 13:01:37.348576*Basso*Leonardo Basso*Basso, L.****
50*Francisco*2019-09-25 13:01:37.353682*2019-09-25 13:01:37.353682*De la Barrera*Francisco De la Barrera*De la Barrera, F.****
62*Jorge*2019-09-25 13:53:04.544281*2019-09-25 13:53:04.544281*Gironás*Jorge Gironás*Gironás, J.*2***
65*Margarita*2019-09-25 14:14:43.529066*2019-09-25 14:14:43.529066*Greene*Margarita Greene*Greene, M.*4***
56*Oded*2019-09-25 13:12:44.938029*2019-09-25 14:51:20.11718*Cats*Oded Cats*Cats, O.*0***
57*Pedro*2019-09-25 13:31:21.720434*2019-09-25 14:51:34.476681*Gazmuri*Pedro Gazmuri*Gazmuri, P.*0***
58*Diego*2019-09-25 13:31:30.319902*2019-09-25 14:51:41.7138*Morales*Diego Morales*Morales, D.*0***
59*Paul*2019-09-25 13:35:50.553033*2019-09-25 14:51:48.492528*Knapp*Paul Knapp*Knapp, P.*0***
61*Francisca*2019-09-25 13:39:19.939297*2020-02-28 16:17:38.672244*Giraldez*Francisca Giraldez*Giraldez, F.*0***3
64*Carlos*2019-09-25 14:04:34.289672*2020-02-28 16:17:49.620152*Brunner*Carlos Brunner*Brunner, C.*0***3
63*Anahí*2019-09-25 13:53:26.744389*2019-09-25 14:52:43.890736*Ocampo-Melgar*Anahí Ocampo-Melgar*Ocampo-Melgar, A.*0***
66*Alexis*2019-09-25 14:15:11.208843*2019-09-25 14:52:51.145046*Reyes*Alexis Reyes*Reyes, A.*0***
67*Pablo*2019-09-25 14:18:48.434365*2019-09-25 14:53:06.180029*Morán*Pablo Morán*Morán, P.*0***
68*Rebeca*2019-09-25 14:19:47.290225*2019-09-25 14:53:14.715404*Gaspar*Rebeca Gaspar*Gaspar, R.*0***
69*Prateek*2019-11-15 14:40:45.597227*2019-11-15 14:40:45.597227*Bansal*Prateek Bansal*Bansal, P.*0***
70*Alejandro*2019-11-15 14:41:03.368308*2019-11-15 14:41:03.368308*Tirachini*Alejandro Tirachini*Tirachini, A.*0***
71*Ricardo*2019-11-15 14:41:15.603748*2019-11-15 14:41:15.603748*Daziano*Ricardo Daziano*Daziano, R.*0***
72*Robin*2019-11-15 16:39:43.788459*2019-11-15 16:39:43.788459*Lindsey*Robin Lindsey*Lindsey, R.*0***
73*Andre*2019-11-15 16:39:56.601949*2019-11-15 16:39:56.601949*de Palma*Andre de Palma*de Palma, A.*0***
74*Marcela*2019-11-18 13:34:09.830919*2019-11-18 13:34:09.830919*Martínez*Marcela Martínez*Martínez, M.*0***
75*Helen*2019-11-18 13:36:01.015034*2019-11-18 13:36:01.015034*De la Fuente*Helen De la Fuente*De la Fuente, H.*0***
