id*person_id*product_id*created_at*updated_at*contact*rol*role_project
1104*15*126*2020-02-27 17:32:19.668315*2020-02-27 17:32:19.668315***
1105*5*126*2020-02-27 17:32:19.690459*2020-02-27 17:32:19.690459***
1106*14*126*2020-02-27 17:32:19.70591*2020-02-27 17:32:19.70591***
1556*97*217*2020-03-03 02:00:00.851083*2020-03-03 02:00:00.851083*0**
1557*6*217*2020-03-03 02:00:00.859424*2020-03-03 02:00:00.859424*0**
1558*21*241*2020-03-03 02:00:13.33339*2020-03-03 02:00:13.33339*0**
1559*6*241*2020-03-03 02:00:13.344085*2020-03-03 02:00:13.344085*0**
1560*5*241*2020-03-03 02:00:13.353455*2020-03-03 02:00:13.353455*0**
1561*130*261*2020-03-03 02:01:19.29665*2020-03-03 02:01:19.29665*0**
1562*55*261*2020-03-03 02:01:19.306612*2020-03-03 02:01:19.306612*0**
1563*11*261*2020-03-03 02:01:19.31498*2020-03-03 02:01:19.31498*0**
1107*19*5*2020-02-27 17:32:30.916277*2020-02-27 17:32:30.916277***
1108*5*5*2020-02-27 17:32:30.934667*2020-02-27 17:32:30.934667***
1564*3*247*2020-03-03 02:01:31.151185*2020-03-03 02:01:31.151185*1**
1109*2*5*2020-02-27 17:32:30.951921*2020-02-27 17:32:30.951921***
1362*21*44*2020-03-03 01:33:45.75001*2020-03-03 01:33:45.75001*0**
1363*6*44*2020-03-03 01:33:45.757305*2020-03-03 01:33:45.757305*0**
1364*5*44*2020-03-03 01:33:45.765099*2020-03-03 01:33:45.765099*0**
1365*11*28*2020-03-03 01:33:56.177363*2020-03-03 01:33:56.177363*0**
1366*39*28*2020-03-03 01:33:56.187441*2020-03-03 01:33:56.187441*0**
1367*54*39*2020-03-03 01:34:08.437673*2020-03-03 01:34:08.437673*0**
1368*5*39*2020-03-03 01:34:08.446078*2020-03-03 01:34:08.446078*0**
1369*27*40*2020-03-03 01:34:23.091492*2020-03-03 01:34:23.091492*0**
1370*46*40*2020-03-03 01:34:23.098693*2020-03-03 01:34:23.098693*0**
1371*3*40*2020-03-03 01:34:23.106213*2020-03-03 01:34:23.106213*0**
1372*3*41*2020-03-03 01:34:41.310332*2020-03-03 01:34:41.310332*0**
1373*27*41*2020-03-03 01:34:41.320149*2020-03-03 01:34:41.320149*0**
1565*108*248*2020-03-03 02:01:40.167757*2020-03-03 02:01:40.167757*0**
1110*59*5*2020-02-27 17:32:30.979821*2020-02-27 17:32:30.979821***
1111*15*1*2020-02-27 17:32:37.721359*2020-02-27 17:32:37.721359***
1566*3*248*2020-03-03 02:01:40.178106*2020-03-03 02:01:40.178106*0**
1567*3*249*2020-03-03 02:01:49.912309*2020-03-03 02:01:49.912309*0**
1568*126*249*2020-03-03 02:01:49.919965*2020-03-03 02:01:49.919965*0**
1374*47*42*2020-03-03 01:34:56.130656*2020-03-03 01:34:56.130656*0**
1375*6*42*2020-03-03 01:34:56.138777*2020-03-03 01:34:56.138777*0**
1376*14*42*2020-03-03 01:34:56.148301*2020-03-03 01:34:56.148301*0**
1377*24*43*2020-03-03 01:35:07.315052*2020-03-03 01:35:07.315052*0**
1378*6*43*2020-03-03 01:35:07.333585*2020-03-03 01:35:07.333585*0**
1379*55*45*2020-03-03 01:36:09.291572*2020-03-03 01:36:09.291572*0**
1380*24*45*2020-03-03 01:36:09.300138*2020-03-03 01:36:09.300138*0**
1381*5*45*2020-03-03 01:36:09.309145*2020-03-03 01:36:09.309145*0**
1569*9*251*2020-03-03 02:02:02.854596*2020-03-03 02:02:02.854596*0**
1382*3*47*2020-03-03 01:36:19.24671*2020-03-03 01:36:19.24671*0**
1383*3*48*2020-03-03 01:36:27.330604*2020-03-03 01:36:27.330604*0**
1384*27*49*2020-03-03 01:36:38.115993*2020-03-03 01:36:38.115993*0**
1112*5*1*2020-02-27 17:32:37.734365*2020-02-27 17:32:37.734365***
1385*46*49*2020-03-03 01:36:38.127178*2020-03-03 01:36:38.127178*0**
1386*48*49*2020-03-03 01:36:38.135387*2020-03-03 01:36:38.135387*0**
1387*3*49*2020-03-03 01:36:38.14364*2020-03-03 01:36:38.14364*0**
1388*8*50*2020-03-03 01:36:51.596913*2020-03-03 01:36:51.596913*0**
1570*9*252*2020-03-03 02:02:15.917221*2020-03-03 02:02:15.917221*0**
1571*34*252*2020-03-03 02:02:15.925282*2020-03-03 02:02:15.925282*0**
1572*3*252*2020-03-03 02:02:15.933042*2020-03-03 02:02:15.933042*0**
1573*9*253*2020-03-03 02:03:36.294999*2020-03-03 02:03:36.294999*0**
1574*49*258*2020-03-03 02:03:49.118859*2020-03-03 02:03:49.118859*0**
1575*12*258*2020-03-03 02:03:49.127068*2020-03-03 02:03:49.127068*0**
1576*128*258*2020-03-03 02:03:49.134407*2020-03-03 02:03:49.134407*0**
1577*129*259*2020-03-03 02:04:03.341803*2020-03-03 02:04:03.341803*0**
1578*5*259*2020-03-03 02:04:03.349288*2020-03-03 02:04:03.349288*0**
1579*12*259*2020-03-03 02:04:03.356356*2020-03-03 02:04:03.356356*0**
1580*112*260*2020-03-03 02:04:13.021114*2020-03-03 02:04:13.021114*0**
1581*113*260*2020-03-03 02:04:13.028318*2020-03-03 02:04:13.028318*0**
1582*12*260*2020-03-03 02:04:13.035825*2020-03-03 02:04:13.035825*0**
1583*7*265*2020-03-03 02:04:24.716345*2020-03-03 02:04:24.716345*1**
1584*7*268*2020-03-03 02:04:34.688128*2020-03-03 02:04:34.688128*0**
1585*85*268*2020-03-03 02:04:34.695966*2020-03-03 02:04:34.695966*0**
1586*7*266*2020-03-03 02:04:50.075781*2020-03-03 02:04:50.075781*1**
1587*136*274*2020-03-03 02:05:39.13737*2020-03-03 02:05:39.13737*0**
1588*6*274*2020-03-03 02:05:39.146442*2020-03-03 02:05:39.146442*0**
1589*51*274*2020-03-03 02:05:39.155482*2020-03-03 02:05:39.155482*0**
1590*7*267*2020-03-03 02:05:58.200336*2020-03-03 02:05:58.200336*0**
1591*131*270*2020-03-03 02:06:09.461428*2020-03-03 02:06:09.461428*0**
1592*6*270*2020-03-03 02:06:09.469262*2020-03-03 02:06:09.469262*0**
1593*98*270*2020-03-03 02:06:09.47663*2020-03-03 02:06:09.47663*0**
1594*21*271*2020-03-03 02:06:25.477078*2020-03-03 02:06:25.477078*0**
1595*6*271*2020-03-03 02:06:25.484735*2020-03-03 02:06:25.484735*0**
1596*5*271*2020-03-03 02:06:25.495107*2020-03-03 02:06:25.495107*0**
1597*6*272*2020-03-03 02:06:33.301519*2020-03-03 02:06:33.301519*0**
1598*132*273*2020-03-03 02:06:46.086782*2020-03-03 02:06:46.086782*0**
1599*133*273*2020-03-03 02:06:46.095391*2020-03-03 02:06:46.095391*0**
1600*134*273*2020-03-03 02:06:46.103817*2020-03-03 02:06:46.103817*0**
1601*135*273*2020-03-03 02:06:46.114407*2020-03-03 02:06:46.114407*0**
1602*6*273*2020-03-03 02:06:46.127508*2020-03-03 02:06:46.127508*0**
1603*10*277*2020-03-03 02:07:44.347082*2020-03-03 02:07:44.347082*0**
1604*150*277*2020-03-03 02:07:44.354953*2020-03-03 02:07:44.354953*0**
1605*35*277*2020-03-03 02:07:44.362533*2020-03-03 02:07:44.362533*0**
1606*11*283*2020-03-03 02:07:53.834996*2020-03-03 02:07:53.834996*0**
1607*10*283*2020-03-03 02:07:53.842311*2020-03-03 02:07:53.842311*0**
1608*141*283*2020-03-03 02:07:53.849504*2020-03-03 02:07:53.849504*0**
1609*142*283*2020-03-03 02:07:53.856811*2020-03-03 02:07:53.856811*0**
1610*10*282*2020-03-03 02:08:00.376286*2020-03-03 02:08:00.376286*1**
1611*10*281*2020-03-03 02:08:07.528919*2020-03-03 02:08:07.528919*1**
1612*120*290*2020-03-03 02:08:12.744611*2020-03-03 02:08:12.744611*0**
1613*11*290*2020-03-03 02:08:12.752092*2020-03-03 02:08:12.752092*0**
1614*144*291*2020-03-03 02:08:22.15772*2020-03-03 02:08:22.15772*0**
1615*11*291*2020-03-03 02:08:22.168207*2020-03-03 02:08:22.168207*0**
1616*145*291*2020-03-03 02:08:22.176298*2020-03-03 02:08:22.176298*0**
1617*146*291*2020-03-03 02:08:22.183298*2020-03-03 02:08:22.183298*0**
1618*147*291*2020-03-03 02:08:22.190856*2020-03-03 02:08:22.190856*0**
1619*11*292*2020-03-03 02:08:31.851352*2020-03-03 02:08:31.851352*0**
1620*148*292*2020-03-03 02:08:31.859948*2020-03-03 02:08:31.859948*0**
1621*144*292*2020-03-03 02:08:31.868738*2020-03-03 02:08:31.868738*0**
1622*10*292*2020-03-03 02:08:31.87763*2020-03-03 02:08:31.87763*0**
1623*120*292*2020-03-03 02:08:31.886259*2020-03-03 02:08:31.886259*0**
1624*40*292*2020-03-03 02:08:31.895427*2020-03-03 02:08:31.895427*0**
1625*130*292*2020-03-03 02:08:31.904768*2020-03-03 02:08:31.904768*0**
1626*55*292*2020-03-03 02:08:31.914141*2020-03-03 02:08:31.914141*0**
1627*149*293*2020-03-03 02:08:37.923165*2020-03-03 02:08:37.923165*0**
1628*11*293*2020-03-03 02:08:37.931168*2020-03-03 02:08:37.931168*0**
1629*120*293*2020-03-03 02:08:37.938503*2020-03-03 02:08:37.938503*0**
1630*7*178*2020-03-03 02:08:51.473472*2020-03-03 02:08:51.473472*1**
1631*7*298*2020-03-03 02:08:58.443782*2020-03-03 02:08:58.443782*1**
1632*7*297*2020-03-03 02:09:06.937479*2020-03-03 02:09:06.937479*1**
1633*7*301*2020-03-03 02:10:24.171074*2020-03-03 02:10:24.171074*1**
1881*14*433*2020-03-16 15:47:31.432269*2020-03-16 15:47:31.432269*0**
1692*3*112*2020-03-03 13:42:14.578934*2020-03-03 13:42:14.578934***
1882*13*173*2020-03-27 20:28:57.710276*2020-03-27 20:28:57.710276***
1883*5*173*2020-03-27 20:28:57.721575*2020-03-27 20:28:57.721575***
1713*5*364*2020-03-03 19:43:54.493732*2020-03-03 19:43:54.493732*1**
1714*7*365*2020-03-03 19:44:02.414637*2020-03-03 19:44:02.414637*1**
1113*16*1*2020-02-27 17:32:37.752933*2020-02-27 17:32:37.752933***
1389*21*25*2020-03-03 01:39:16.855659*2020-03-03 01:39:16.855659*1**
1390*6*25*2020-03-03 01:39:16.866353*2020-03-03 01:39:16.866353*0**
1391*5*25*2020-03-03 01:39:16.876748*2020-03-03 01:39:16.876748*0**
1392*36*26*2020-03-03 01:39:33.947696*2020-03-03 01:39:33.947696*0**
1393*37*26*2020-03-03 01:39:33.95826*2020-03-03 01:39:33.95826*0**
1394*5*26*2020-03-03 01:39:33.967884*2020-03-03 01:39:33.967884*0**
1395*7*27*2020-03-03 01:39:44.712253*2020-03-03 01:39:44.712253*0**
1114*60*131*2020-02-27 17:32:46.861721*2020-02-27 17:32:46.861721***
1115*61*131*2020-02-27 17:32:46.880807*2020-02-27 17:32:46.880807***
1116*34*131*2020-02-27 17:32:46.909392*2020-02-27 17:32:46.909392***
1396*34*27*2020-03-03 01:39:44.72189*2020-03-03 01:39:44.72189*0**
1117*5*131*2020-02-27 17:32:46.93914*2020-02-27 17:32:46.93914***
1118*7*135*2020-02-27 17:33:08.941958*2020-02-27 17:33:08.941958***
1119*58*130*2020-02-27 17:33:16.033795*2020-02-27 17:33:16.033795***
1120*5*130*2020-02-27 17:33:16.047158*2020-02-27 17:33:16.047158***
1121*57*130*2020-02-27 17:33:16.059564*2020-02-27 17:33:16.059564***
1122*54*129*2020-02-27 17:33:59.963506*2020-02-27 17:33:59.963506***
1397*41*31*2020-03-03 01:39:55.64231*2020-03-03 01:39:55.64231*0**
1398*2*31*2020-03-03 01:39:55.649732*2020-03-03 01:39:55.649732*0**
1399*51*31*2020-03-03 01:39:55.656726*2020-03-03 01:39:55.656726*0**
1400*5*31*2020-03-03 01:39:55.663698*2020-03-03 01:39:55.663698*0**
