id,person_id,cluster_id,created_at,updated_at
1,1,3,2019-09-25 13:01:37.41573,2019-09-25 13:01:37.41573
2,2,2,2019-09-25 13:01:37.426309,2019-09-25 13:01:37.426309
3,3,2,2019-09-25 13:01:37.436854,2019-09-25 13:01:37.436854
4,3,3,2019-09-25 13:01:37.445644,2019-09-25 13:01:37.445644
5,4,3,2019-09-25 13:01:37.454801,2019-09-25 13:01:37.454801
6,5,2,2019-09-25 13:01:37.463544,2019-09-25 13:01:37.463544
7,6,2,2019-09-25 13:01:37.475688,2019-09-25 13:01:37.475688
8,7,2,2019-09-25 13:01:37.485197,2019-09-25 13:01:37.485197
9,8,2,2019-09-25 13:01:37.494901,2019-09-25 13:01:37.494901
10,9,2,2019-09-25 13:01:37.504106,2019-09-25 13:01:37.504106
12,11,2,2019-09-25 13:01:37.525422,2019-09-25 13:01:37.525422
13,12,2,2019-09-25 13:01:37.534778,2019-09-25 13:01:37.534778
20,62,4,2019-09-25 13:53:04.555811,2019-09-25 13:53:04.555811
23,65,3,2019-09-25 14:14:43.546937,2019-09-25 14:14:43.546937
27,56,1,2019-09-25 14:51:20.131061,2019-09-25 14:51:20.131061
28,57,1,2019-09-25 14:51:34.48921,2019-09-25 14:51:34.48921
29,58,1,2019-09-25 14:51:41.729375,2019-09-25 14:51:41.729375
30,59,1,2019-09-25 14:51:48.506413,2019-09-25 14:51:48.506413
31,60,1,2019-09-25 14:51:58.138329,2019-09-25 14:51:58.138329
32,61,1,2019-09-25 14:52:09.435273,2019-09-25 14:52:09.435273
33,63,1,2019-09-25 14:52:43.914109,2019-09-25 14:52:43.914109
34,66,1,2019-09-25 14:52:51.159492,2019-09-25 14:52:51.159492
35,64,1,2019-09-25 14:52:58.001933,2019-09-25 14:52:58.001933
36,67,1,2019-09-25 14:53:06.195256,2019-09-25 14:53:06.195256
37,68,1,2019-09-25 14:53:14.727109,2019-09-25 14:53:14.727109
38,69,1,2019-11-15 14:40:45.620682,2019-11-15 14:40:45.620682
39,70,1,2019-11-15 14:41:03.38019,2019-11-15 14:41:03.38019
40,71,1,2019-11-15 14:41:15.612558,2019-11-15 14:41:15.612558
41,72,1,2019-11-15 16:39:43.798851,2019-11-15 16:39:43.798851
42,73,1,2019-11-15 16:39:56.62154,2019-11-15 16:39:56.62154
43,74,1,2019-11-18 13:34:09.856152,2019-11-18 13:34:09.856152
44,75,1,2019-11-18 13:36:01.028606,2019-11-18 13:36:01.028606
45,76,1,2019-11-18 13:36:17.056045,2019-11-18 13:36:17.056045
46,77,1,2019-11-18 13:36:29.986782,2019-11-18 13:36:29.986782
47,78,1,2019-11-18 13:36:42.842283,2019-11-18 13:36:42.842283
48,79,1,2019-11-18 13:36:59.829667,2019-11-18 13:36:59.829667
49,80,1,2019-11-18 14:32:07.042049,2019-11-18 14:32:07.042049
50,81,1,2019-11-18 15:02:54.795615,2019-11-18 15:02:54.795615
51,82,1,2019-11-18 15:03:07.834123,2019-11-18 15:03:07.834123
53,84,1,2019-11-18 15:03:32.853827,2019-11-18 15:03:32.853827
54,85,1,2019-11-18 16:04:03.434326,2019-11-18 16:04:03.434326
55,86,1,2019-11-19 14:00:22.512523,2019-11-19 14:00:22.512523
56,87,1,2019-11-19 14:00:36.897824,2019-11-19 14:00:36.897824
57,88,1,2019-11-19 14:23:49.647435,2019-11-19 14:23:49.647435
58,89,1,2019-11-19 14:24:52.499536,2019-11-19 14:24:52.499536
59,90,1,2019-11-19 14:27:53.757576,2019-11-19 14:27:53.757576
60,91,1,2019-11-19 14:47:18.302486,2019-11-19 14:47:18.302486
61,92,1,2019-11-19 14:52:46.340287,2019-11-19 14:52:46.340287
62,93,1,2019-11-19 14:53:00.643057,2019-11-19 14:53:00.643057
63,94,1,2019-11-19 15:05:07.690506,2019-11-19 15:05:07.690506
64,95,1,2019-11-19 15:20:39.375347,2019-11-19 15:20:39.375347
66,97,1,2019-11-22 03:37:39.161115,2019-11-22 03:37:39.161115
67,98,1,2019-11-22 03:46:29.875276,2019-11-22 03:46:29.875276
68,99,1,2019-11-22 04:20:36.148004,2019-11-22 04:20:36.148004
69,100,1,2019-11-22 04:20:58.762616,2019-11-22 04:20:58.762616
70,101,1,2019-11-22 04:24:39.957063,2019-11-22 04:24:39.957063
71,102,1,2019-11-22 04:51:15.081359,2019-11-22 04:51:15.081359
72,103,1,2019-11-22 04:58:09.733345,2019-11-22 04:58:09.733345
73,104,1,2019-11-22 04:58:54.975249,2019-11-22 04:58:54.975249
74,105,1,2019-11-22 05:00:53.018945,2019-11-22 05:00:53.018945
75,106,1,2019-11-22 05:02:18.580216,2019-11-22 05:02:18.580216
76,107,1,2019-11-22 05:03:43.084203,2019-11-22 05:03:43.084203
77,108,1,2019-11-22 05:08:03.407643,2019-11-22 05:08:03.407643
78,109,1,2019-11-22 05:10:29.434898,2019-11-22 05:10:29.434898
79,110,1,2019-11-22 05:12:42.67172,2019-11-22 05:12:42.67172
80,111,1,2019-11-22 05:14:29.363673,2019-11-22 05:14:29.363673
81,112,1,2019-11-22 05:16:59.819653,2019-11-22 05:16:59.819653
82,113,1,2019-11-22 05:17:10.627937,2019-11-22 05:17:10.627937
83,114,1,2019-11-22 05:18:34.330205,2019-11-22 05:18:34.330205
84,115,1,2019-11-22 05:22:25.704184,2019-11-22 05:22:25.704184
85,116,1,2019-11-22 05:23:33.854256,2019-11-22 05:23:33.854256
86,117,1,2019-11-22 05:23:57.4866,2019-11-22 05:23:57.4866
87,118,1,2019-11-22 05:24:24.031597,2019-11-22 05:24:24.031597
88,119,1,2019-11-22 05:24:41.318801,2019-11-22 05:24:41.318801
89,120,1,2019-11-22 05:26:01.939107,2019-11-22 05:26:01.939107
90,121,1,2019-11-22 05:26:37.347608,2019-11-22 05:26:37.347608
91,122,1,2019-11-22 05:26:56.207881,2019-11-22 05:26:56.207881
92,123,1,2019-11-22 05:27:07.237114,2019-11-22 05:27:07.237114
93,124,1,2019-11-22 05:27:23.980525,2019-11-22 05:27:23.980525
94,125,1,2019-11-22 19:22:39.435486,2019-11-22 19:22:39.435486
95,126,1,2019-11-26 15:19:55.428623,2019-11-26 15:19:55.428623
96,127,1,2019-11-27 03:49:31.553693,2019-11-27 03:49:31.553693
97,128,1,2019-11-27 04:33:33.523491,2019-11-27 04:33:33.523491
98,129,1,2019-11-27 04:36:44.4692,2019-11-27 04:36:44.4692
100,131,1,2019-12-02 18:34:10.946999,2019-12-02 18:34:10.946999
101,132,1,2019-12-02 18:41:05.502225,2019-12-02 18:41:05.502225
102,133,1,2019-12-02 18:41:22.228488,2019-12-02 18:41:22.228488
103,134,1,2019-12-02 18:41:33.133331,2019-12-02 18:41:33.133331
