id,person_id,created_at,updated_at,text
3,5,2019-11-22 13:00:46.664719,2019-11-22 13:00:46.664719,"[JRS] JuanCa, puse sólo los papers en que agradecías a cedeus. Además, incluí todas las presentaciones del Congreso Chileno en que aparece tu nombre asociado."
7,5,2019-11-22 13:02:55.772311,2019-11-22 13:02:55.772311,"[JRS] Me faltarían más presentaciones en Congresos/Seminarios, en caso que hayan habido, y sus resúmens o ppt"
10,5,2019-11-22 13:05:31.111658,2019-11-22 13:05:31.111658,"[JRS] Si tienes email de tu tesista D. Morales sería ideal, para contactarlo."
11,2,2019-11-22 14:51:50.061874,2019-11-22 14:51:50.061874,"[JRS] Ricardo, necesitaría los ppt o pdf de las presentaciones en congresos y/o seminarios en que presentaste"
12,2,2019-11-22 14:53:44.629104,2019-11-22 14:53:44.629104,"[JRS] La organización de congresos no aparece en este listado, ya que en principio no está asociado a un investigador en particular."
13,2,2019-11-22 14:58:49.405626,2019-11-22 14:58:49.405626,[JRS] Me faltaría algún tipo de email de invitación a Rotterdam School of Management
16,6,2019-11-22 19:25:22.382568,2019-11-22 19:25:22.382568,"[JRS] Me faltarían más presentaciones en Congresos/Seminarios, en caso que hayan habido, y sus resúmens o ppt."
35,10,2019-11-24 21:18:12.316531,2019-11-24 21:18:12.316531,[JRS] ¿Cuál sería el monto de financiamiento que entregó el fondecyt 1190251?
41,11,2019-11-24 21:46:32.467665,2019-11-24 21:46:32.467665,"[JRS] JA, puse sólo los papers en que agradecías a cedeus. Además, incluí todas las presentaciones del Congreso Chileno en que aparece tu nombre asociado."
42,11,2019-11-24 21:46:46.596134,2019-11-24 21:46:46.596134,"[JRS] Me faltarían más presentaciones en Congresos/Seminarios, en caso que hayan habido, y sus resúmens o ppt."
43,11,2019-11-24 21:46:53.850291,2019-11-24 21:46:53.850291,[JRS] ¿Habría algún tesista que incluir?
44,10,2019-11-25 00:02:58.695617,2019-11-25 00:02:58.695617,Sí David terminó su tesis de magíster en Julio de 2018
45,10,2019-11-25 00:17:41.579568,2019-11-25 00:17:41.579568,"Los papers están correctos , tengo 2 más pero están en prensa y tendrán fecha 2020"
46,10,2019-11-25 01:12:33.11102,2019-11-25 01:12:33.11102,"Capítulo de libro tengo este pero la referencia completa la tendré e diciembre
2.	Rojas, C., Díaz, S., Munizaga, J. (2019). Urban Fabric patterns on urban wetland. Advances in Science, Technology & Innovation, Springer."
47,10,2019-11-25 01:15:03.663256,2019-11-25 01:15:03.663256,"Conferencias
Rojas, C., Díaz, S., Munizaga, J. (2019). Urban Fabric patterns on urban wetland. Green Urbanism Conference, 11 – 13 dicember, University of Rome, Rome, Italy."
48,10,2019-11-25 01:40:27.755451,2019-11-25 01:40:27.755451,"tengo todas estas presentaciones •	Rojas, C. (2019). Investigación en Humedales Urbanos en tiempos de cambio climático. Seminario “Humedales y Cambio Climático”, Ministerio de Medio Ambiente, 17 de Octubre de 2019, Santiago de Chile. 
•	Rojas, C. (2019). Humedales Urbanos en tiempos de cambio climático. Festivales Ciencia, Ministerio de Ciencia, Metro Ñuble, 11 de Octubre de 2019, Santiago de Chile. 
•	Rojas, C. (2019). Humedales Urbanos en tiempos de cambio climático. Seminario “Opciones de Adaptación al cambio climático en zonas urbanas. Pontificia Universidad Católica, 7 de Octubre de 2019, Santiago de Chile. 
•	Rojas, C. (2019). Humedales Urbanos en tiempos de cambio climático. Seminario “Borde Costero en Chile: Desafíos para una nueva gobernanza de la costa en un contexto de cambio climático”, Biblioteca Ex Congreso Nacional, 19 de agosto de 2019, Santiago de Chile. 
•	Rojas, C. (2019). Access to healthy food: Quantitative insights from Chile by GIS. Critical GIS Seminario, FADEU, 22 de Agosto de 2019, Universidad Católica, Santiago de Chile.
•	Rojas, C. (2019). Investigación en Humedales Urbanos ante el cambio climático. Seminario “El valor de los Humedales Urbanos en tiempos de Cambio Climático”, Sergio Larraín, 5 de agosto de 2019, Universidad Católica, Santiago de Chile. 
"
50,3,2019-11-26 18:28:23.064195,2019-11-26 18:28:23.064195,[JRS] Felipe Vergara pasó a ser tesista de pregrado.
55,8,2019-11-27 04:03:21.407752,2019-11-27 04:03:21.407752,[JRS] La invitación de Jim Walker a Chile.
56,12,2019-11-27 04:41:21.441087,2019-11-27 04:41:21.441087,[JRS] Ver en qué está Vicente Viel.
57,130,2019-11-27 04:46:34.765593,2019-11-27 04:46:34.765593,[JRS] Faltaría ingresar tesistas
59,10,2019-11-30 01:50:04.79196,2019-11-30 01:50:04.79196,"Papers 2020•	
Rojas, C., Díaz, S. Rueda, I., & De la Fuente, H. Olguín, N. (2020). Calidad de los Parques Urbanos: Calidad y Acceso Público. Revista AUS. Scopus. 
Aguilera, F., Rojas, C., Salas-Olmedo, H. & Carrasco, J. (2020). Visualización de las dimensiones espaciales y temporales de las estrategias de movilidad individual en entornos urbanos. Revista Transporte y Territorio. Latindex. "
60,10,2019-12-03 00:19:36.209427,2019-12-03 00:19:36.209427,[JRS] pedir copia de índice de tesis a alumno que finalizó (david muñoz)
61,9,2019-12-03 00:31:32.730699,2019-12-03 00:31:32.730699,[JRS] Sólo me falta libro Giovanni
63,145,2019-12-19 15:35:35.049269,2019-12-19 15:35:35.049269,[SHB] ¿Cómo puedo cambiar su nombre? Se llama Dámaris
64,146,2019-12-19 15:35:59.877423,2019-12-19 15:35:59.877423,[SHB] Se llama Pablo
65,147,2019-12-19 15:36:23.0859,2019-12-19 15:36:23.0859,[SHB] Se llama Constanza
66,149,2019-12-19 15:40:54.336487,2019-12-19 15:40:54.336487,[SHB] Se llama Marcela
